Bedroom1,1292.7686,2784.3519
Bedroom2,2888.4049,1822.0917
Bedroom3,2888.4049,2249.699
Bedroom4,2832.9187,2768.8917
Scullery,1753.3099,2374.7629
Study,1640.1444,2794.49
Dining1,1308.5605,1679.2216
Entrance,2046.5943,2648.011
MaidsBathroom,2234.0749,2572.5508
Bedroom4Bathroom,2324.0749,2839.812
SharedBathroom,2294.0749,1822.0917
Bedroom1Bathroom1,1222.7686,2410.2231
PowderRoom,1848.0882,2819.08
MasterBathroom,2324.0749,1342.9409
MasterBedroom,2761.9984,1272.0206
Living1,1859.0882,1549.4518
Kitchen,1360.0409,2136.713
Laundry,2324.0749,2374.7629
