MasterBedroom,2154.2012,1141.4609
MasterBedroomBathroom,1652.6503,1111.1949
PowderRoom,1596.4419,2014.8514
Kitchen,1855.8649,2715.2935
LivingRoom,2097.9929,2317.5115
DiningRoom,2154.2012,2715.2935
MaidRoom,1592.1182,2611.5242
Bedroom2,2097.9929,1513.3005
Office,1596.4419,1470.0634
Laundry,1596.4419,1686.2491
Bedroom1,2102.3167,1945.672
MaidBathroom,1661.2976,2806.0916
Entrance,1540.2336,2269.9507
Corridor,1730.4771,2170.5054
MasterBedroomWardrobe,1886.1309,1124.166
Balcony2,2478.48,3030.9246
Balcony1,2420,1550
