Unit Name,Type Name,Unique Type Separation?
"r10_01_02","a_s_1b_a1","b1"
"r10_02_02","a_s_1b_a1","b1"
"r10_03_02","a_s_1b_a1","b1"
"r10_04_02","a_s_1b_a1","b1"
"r10_05_02","a_s_1b_a1","b1"
"r10_06_02","a_s_1b_a1","b1"
"r10_07_02","a_s_1b_a1","b1"
"r10_08_02","a_s_1b_a1","b1"
"r11_01_01","a_s_1b_a1","b1"
"r11_01_05","a_s_1b_a1","b1"
"r11_01_11","a_s_1b_a1","b1"
"r11_02_01","a_s_1b_a1","b2"
"r11_02_05","a_s_1b_a1","b2"
"r11_02_11","a_s_1b_a1","b3"
"r11_03_01","a_s_1b_a1","b2"
"r11_03_05","a_s_1b_a1","b2"
"r11_03_11","a_s_1b_a1","b3"
"r11_04_01","a_s_1b_a1","b2"
"r11_04_05","a_s_1b_a1","b2"
"r11_04_11","a_s_1b_a1","b3"
"r11_05_01","a_s_1b_a1","b2"
"r11_05_04","a_s_1b_a1","b2"
"r11_05_10","a_s_1b_a1","b3"
"r11_06_01","a_s_1b_a1","b2"
"r11_06_04","a_s_1b_a1","b2"
"r11_06_10","a_s_1b_a1","b3"
"r11_07_01","a_s_1b_a1","b2"
"r11_07_04","a_s_1b_a1","b2"
"r11_07_10","a_s_1b_a1","b3"
"r11_08_08","a_s_1b_a1","b3"
"r12_01_01","a_s_1b_a1","b1"
"r12_01_05","a_s_1b_a1","b1"
"r12_01_11","a_s_1b_a1","b1"
"r12_02_01","a_s_1b_a1","b2"
"r12_02_05","a_s_1b_a1","b2"
"r12_02_11","a_s_1b_a1","b3"
"r12_03_01","a_s_1b_a1","b2"
"r12_03_05","a_s_1b_a1","b2"
"r12_03_11","a_s_1b_a1","b3"
"r12_04_01","a_s_1b_a1","b2"
"r12_04_05","a_s_1b_a1","b2"
"r12_04_11","a_s_1b_a1","b3"
"r12_05_01","a_s_1b_a1","b2"
"r12_05_04","a_s_1b_a1","b2"
"r12_05_10","a_s_1b_a1","b3"
"r12_06_01","a_s_1b_a1","b2"
