Unit Name,Unit Type,Unit Type Dev,Mirrored,
b1-102,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-104,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-202,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-204,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-206,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-301,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-303,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-305,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-501,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-503,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-505,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-701,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-703,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-705,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-402,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-404,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-406,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-602,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-604,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-606,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b2-104,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-202,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b2-204,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-206,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b2-301,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b2-303,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-305,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b2-501,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b2-503,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-505,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b2-701,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b2-703,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-705,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b2-402,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b2-404,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-406,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b2-602,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b2-604,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b2-606,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-103,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-105,2 Bedroom Type B ADA,a_s_2b_b1_s1_0,Normal,180
b3-202,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-204,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-206,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-301,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-303,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-305,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-501,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-503,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-505,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-701,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-703,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-705,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-402,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-404,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-406,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-602,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-604,2 Bedroom Type A,a_s_2b_a1_s1_0,Normal,0
b3-606,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
