Unit Name,Unit Type,Unit Type Dev,Mirrored,
b1-101,Studio Type C,a_s_s_c1_s1_0,Flipped,90
b1-102,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-103,3 Bedroom Type B [1],a_s_3b_b1_s1_0,Normal,270
b1-104,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-105,1 Bedroom Type A,a_s_1b_a1_s1_0,Normal,270
b1-106,1 Bedroom Type B,a_s_1b_b1_s1_0,Normal,90
b1-107,Studio Type B,a_s_s_b1_s1_0,Normal,90
b1-201,1 Bedroom Duplex Type C,d_s_1b_c1_s1_0,Normal,90
b1-202,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-203,3 Bedroom Type B [2],a_s_3b_b2_s1_0,Normal,270
b1-204,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-205,3 Bedroom Type A [2],a_s_3b_a3_s1_0,Flipped,270
b1-206,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-207,1 Bedroom Duplex Type B,d_s_1b_b1_s1_0,Normal,90
b1-301,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-302,3 Bedroom Type B [2],a_s_3b_b2_s1_0,Normal,270
b1-303,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-304,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,270
b1-305,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-501,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-502,3 Bedroom Type B [2],a_s_3b_b2_s1_0,Normal,270
b1-503,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-504,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,270
b1-505,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-701,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-702,3 Bedroom Type B [2],a_s_3b_b2_s1_0,Normal,270
b1-703,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-704,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,270
b1-705,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-401,1 Bedroom Duplex Type C,d_s_1b_c1_s1_0,Normal,90
b1-402,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-403,3 Bedroom Type B [2],a_s_3b_b2_s1_0,Normal,270
b1-404,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
b1-405,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,270
b1-406,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,180
b1-407,1 Bedroom Duplex Type B,d_s_1b_b1_s1_0,Normal,90
b1-601,1 Bedroom Duplex Type C,d_s_1b_c1_s1_0,Normal,90
b1-602,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,0
b1-603,3 Bedroom Type B [2],a_s_3b_b2_s1_0,Normal,270
b1-604,2 Bedroom Type A1,a_s_2b_a1_s1_0,Normal,270
