name,type
manarat-102,a_s_2b_b1s_s1_0
manarat-125,a_s_2b_b2s_s1_0
manarat-202,a_s_2b_b1s_s1_0
manarat-234,a_s_2b_b1s_s1_0
manarat-302,a_s_2b_b1s_s1_0
manarat-334,a_s_2b_b1s_s1_0
manarat-402,a_s_2b_b1s_s1_0
manarat-434,a_s_2b_b1s_s1_0
manarat-502,a_s_2b_b1s_s1_0
manarat-534,a_s_2b_b1s_s1_0
manarat-602,a_s_2b_b1s_s1_0
manarat-634,a_s_2b_b1s_s1_0
manarat-702,a_s_2b_b1s_s1_0
manarat-734,a_s_2b_b1s_s1_0
manarat-802,a_s_2b_b1s_s1_0
manarat-827,a_s_2b_b1s_s1_0
manarat-922,a_s_2b_b1s_s1_0
manarat-1022,a_s_2b_b1s_s1_0
manarat-1122,a_s_2b_b1s_s1_0
manarat-1222,a_s_2b_b1s_s1_0
