WetKitchen,1837.3940,1780.4317
ShowKitchen,1678.0346,1733.6792
FamilyLiving,1680.7673,2092.4583
Corridor,1923.7248,1945.0271
FormalLiving,2559.4475,2260.1915
FormalDining,2263.8596,2261.8435
PowderRoom2,2385.8053,2266.8333
GuestBedroomWardrobe,2117.9019,2196.9121
GuestBedroom,2050.8759,2343.6745
GuestBedroomBathroom,1986.3372,2195.6767
Laundry,2118.7951,1742.5831
MaidsRoom,2271.7751,1743.6578
MaidsBathroom,2335.6016,1871.4359
PodLiving,1490.8080,2425.3187
PodBathroom,1719.0509,2399.0856
PodPantry,1651.3428,2422.8040
FamilyDining,1603.1834,1930.5233
Entrance,2270.2215,2002.8194
PowderRoom1,2205.2662,1865.9363
DriversRoom,2737.0247,1687.4409
DriversBath,2633.0513,1679.8158
Garden,1496.824049877303,2114.113596744834
