Unit Name,Unit Type,Unit Type Dev,Mirrored,
b1-101,3BedA1,a_s_3b_a1_s1_0,Normal,0
b1-102,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-103,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-104,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-105,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-106,4BedB,a_s_4b_b1_s1_0,Normal,0
b1-107,2BedD1,a_s_2b_d1_s1_0,Normal,90
b1-108,2BedC1,a_s_2b_c1_s1_0,Normal,90
b1-201,3BedA2,a_s_3b_a2_s1_0,Normal,0
b1-202,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-203,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-204,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-205,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-206,4BedC,a_s_4b_c1_s1_0,Normal,0
b1-207,2BedD2,a_s_2b_d2_s1_0,Normal,90
b1-208,2BedC2,a_s_2b_c2_s1_0,Normal,90
b1-301,3BedA3,a_s_3b_a3_s1_0,Normal,0
b1-302,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-303,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-304,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-305,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-306,4BedD,a_s_4b_d1_s1_0,Normal,0
b1-307,3BedC1,a_s_3b_c1_s1_0,Normal,90
b1-401,3BedA3,a_s_3b_a3_s1_0,Normal,0
b1-402,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-403,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-404,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-405,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-406,4BedE1,a_s_4b_e1_s1_0,Normal,0
b1-407,3BedC1,a_s_3b_c1_s1_0,Normal,90
b1-501,3BedA4,a_s_3b_a4_s1_0,Normal,0
b1-502,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-503,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-504,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-505,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-506,4BedE2,a_s_4b_e2_s1_0,Normal,0
b1-507,3BedC2,a_s_3b_c2_s1_0,Normal,90
b1-601,3BedA5,a_s_3b_a5_s1_0,Normal,0
b1-602,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-603,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-604,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-605,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-606,3BedD,a_s_3b_d1_s1_0,Normal,0
b1-607,3BedC3,a_s_3b_c3_s1_0,Normal,90
b1-701,3BedA5,a_s_3b_a5_s1_0,Normal,0
b1-702,4BedA,a_s_4b_a1_s1_0,Normal,90
b1-703,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-704,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-705,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-706,2BedE1,a_s_2b_e1_s1_0,Normal,0
b1-707,3BedC4,a_s_3b_c4_s1_0,Normal,90
b1-801,3BedA5,a_s_3b_a5_s1_0,Normal,0
b1-802,2BedA,a_s_2b_a1_s1_0,Normal,180
b1-803,2BedB,a_s_2b_b1_s1_0,Normal,180
b1-804,3BedB,a_s_3b_b1_s1_0,Normal,270
b1-805,2BedE2,a_s_2b_e2_s1_0,Normal,0
b1-806,3BedC5,a_s_3b_c5_s1_0,Normal,90
b1-901,PenthouseA,a_s_5b_a1_s1_1,Normal,0
b2-101,SkyVilla01,a_s_4b_sv1_s1_1,Normal,0
b2-102,4BedF1,a_s_4b_f1_s1_0,Normal,90
b2-103,SkyVilla02,a_s_4b_sv2_s1_1,Normal,270
b2-201,SkyVilla03,a_s_4b_sv3_s1_1,Normal,0
b2-202,4BedF2,a_s_4b_f2_s1_0,Normal,90
b2-203,SkyVilla04,a_s_4b_sv4_s1_1,Normal,270
b2-201,SkyVilla05,a_s_4b_sv5_s1_1,Normal,0
b2-202,4BedF1,a_s_4b_f1_s1_0,Normal,90
b2-203,SkyVilla06,a_s_4b_sv6_s1_1,Normal,270
b2-301,SkyVilla05,a_s_4b_sv5_s1_1,Normal,0
b2-302,4BedF3,a_s_4b_f3_s1_1,Normal,90
b2-303,SkyVilla06,a_s_4b_sv6_s1_1,Normal,270
b2-401,SkyVilla07,a_s_4b_sv7_s1_1,Normal,0
b2-402,4BedF4,a_s_4b_f4_s1_1,Normal,90
b2-403,SkyVilla08,a_s_4b_sv8_s1_1,Normal,270
b2-501,SkyVilla09,a_s_4b_sv9_s1_1,Normal,0
b2-502,4BedF5,a_s_4b_f5_s1_1,Normal,90
b2-503,SkyVilla10,a_s_4b_sv10_s1_1,Normal,270
b2-601,SkyVilla11,a_s_4b_sv11_s1_1,Normal,0
b2-602,4BedF6,a_s_4b_f6_s1_1,Normal,90
b2-603,SkyVilla12,a_s_4b_sv12_s1_1,Normal,270
b2-701,PenthouseB,a_s_5b_b1_s1_1,Normal,0
