Room Type,Code
1 Bedroom Type A,a_s_1b_a1_s1_0
1 Bedroom Type B,a_s_1b_a2_s1_0
1 Bedroom Type B',a_s_1b_a3_s1_0
2 Bedroom Type A,a_s_2b_a1_s1_0
2 Bedroom Type B,a_s_2b_a2_s1_0
2 Bedroom Type A1,a_s_2b_a3_s1_0
2 Bedroom Type A',a_s_2b_a4_s1_0
2 Bedroom Type B',a_s_2b_a5_s1_0
3 Bedroom Type A,a_s_3b_a1_s1_0
3 Bedroom Type B,a_s_3b_a2_s1_0
3 Bedroom Type A',a_s_3b_a3_s1_0
Studio type A,a_s_1b_b1_s1_0
Studio type B,a_s_1b_b2_s1_0
Studio type A',a_s_1b_b3_s1_0
1 Bedroom Duplex Type A,a_s_1b_c1_s1_0
1 Bedroom Duplex Type B,a_s_1b_c2_s1_0
1 Bedroom Duplex Type A2,a_s_1b_c3_s1_0
1 Bedroom Duplex Type A3,a_s_1b_c4_s1_0
